year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1990,4,-0.789179699,0.344886683,296.2152028,288.8728973,0.618149118,292.8126495,101489.8604,292.0169596,0.010558216,-2.080961066,-1.654039145,1064.996316,2.855696081,303
1990,5,-1.262593128,0.685043216,294.1804052,285.0251908,0.444930772,289.5914484,101841.4254,288.8229006,0.007541684,-2.481249935,-1.046039456,1351.099818,1.362562448,303
1990,6,-1.354377516,0.964830324,289.9662801,281.0943461,0.332994921,285.3149607,102028.626,284.5067627,0.005788003,-2.635850546,-0.632286588,1486.06744,0.218929028,303
1990,7,-0.280655742,-0.148746775,291.6495814,280.4599166,0.195071352,285.4683749,101954.5827,284.8904015,0.005528502,-1.717351249,-1.955693271,1437.09175,-0.217950074,303
1990,8,0.850734775,0.745826248,292.0692887,279.7040573,0.164814988,285.600073,101758.6444,284.9918912,0.00426666,-1.011314747,-1.388821063,1253.104569,-0.004254884,303
1990,9,-0.779595934,0.459658576,297.0455943,284.6123525,0.222924151,290.6950694,102070.2521,288.7211558,0.005060714,-2.307849191,-2.207307046,1521.673421,-0.34259128,303
1991,1,-1.581085894,-0.419287721,304.1411271,294.5377207,0.518093137,299.810162,101000.4178,297.3485757,0.010739887,-3.193792878,-2.276306127,642.5488975,0.902220838,303
1991,10,-0.771175314,-0.100388994,304.6913324,291.0297064,0.151546505,297.8893817,101430.1139,294.7632476,0.004749492,-2.865233871,-3.478533359,977.2202109,-0.003168907,303
1991,11,-1.171441267,0.130777162,305.6953501,293.6648804,0.347960235,299.6763377,101248.8982,296.8635274,0.00766439,-3.264507373,-3.09038682,848.6372528,0.4710649,303
1991,12,0.005493469,0.088764452,305.8690786,293.1943182,0.259689713,299.8845107,100798.5864,297.2845941,0.006362964,-2.580356454,-2.706535514,468.3296169,0.341400691,303
1991,2,-2.092734681,-0.371740875,304.3423288,295.1989659,0.401007719,300.3190101,100930.615,298.5553414,0.012068879,-3.519688598,-2.54612119,622.816882,1.672464715,303
1991,3,-1.421853965,0.73568916,305.2873821,293.0392938,0.204691096,298.9924415,101312.4539,297.1806306,0.006864428,-3.082100986,-2.228078363,920.6410463,-0.635535754,303
1991,4,-1.596458645,0.959338323,300.5646027,287.7231272,0.162966087,293.881898,101716.3747,293.0234731,0.005414492,-2.892433109,-1.224508075,1249.401323,-1.078800075,303
1991,5,-1.457999166,0.821783766,296.8395071,285.9837272,0.301866466,290.9024914,102068.0698,289.6493284,0.006603556,-2.616480941,-1.343178577,1541.504887,-0.00484873,303
1991,6,-0.637772445,0.217271876,294.8560191,282.3685649,0.258467443,287.9395223,101880.8638,288.1384562,0.005059446,-2.009274828,-1.69645515,1391.238993,-0.965154904,303
1991,7,-0.388814004,0.444104575,291.638979,279.3798346,0.167103604,284.9637382,101933.809,284.9796093,0.004269365,-1.822724729,-1.419201528,1413.467529,0.633849618,303
